City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Torbay,CA,47.6666,-52.7314,51.58,86,75,21.85,broken clouds
109,Yinchuan,CN,38.4681,106.2731,42.31,18,42,4.54,scattered clouds
110,Port Hardy,CA,50.6996,-127.4199,48.38,81,75,3.44,broken clouds
111,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,40,5.75,scattered clouds
112,Mogadishu,SO,2.0371,45.3438,78.75,79,6,8.72,clear sky
113,Kaitangata,NZ,-46.2817,169.8464,59.99,63,82,2.3,broken clouds
114,Houma,US,29.5958,-90.7195,73.4,65,40,8.05,scattered clouds
115,Bengkulu,ID,-3.8004,102.2655,74.03,90,98,4.29,overcast clouds
116,Jaru,BR,-10.4389,-62.4664,82.08,66,75,3.49,light rain
117,Beaverlodge,CA,55.2166,-119.4361,43.95,73,35,15.77,light rain
118,Tuatapere,NZ,-46.1333,167.6833,61.56,51,8,1.07,clear sky
119,Norman Wells,CA,65.282,-126.8329,15.84,86,100,4.61,light snow
120,Wangqing,CN,43.3218,129.7634,35.46,76,100,3.4,overcast clouds
121,Bluff,NZ,-46.6,168.3333,54.88,66,6,3.09,clear sky
122,Sisimiut,GL,66.9395,-53.6735,21.49,82,59,7.29,broken clouds
123,Cayenne,GF,4.9333,-52.3333,78.84,94,100,2.3,overcast clouds
124,Kapaa,US,22.0752,-159.319,84.18,74,40,16.11,scattered clouds
125,Marawi,PH,7.9986,124.2928,69.31,86,96,3.87,overcast clouds
126,Segou,ML,13.4317,-6.2157,79.48,17,26,6.89,scattered clouds
127,Porbandar,IN,21.6422,69.6093,79.5,55,0,8.25,clear sky
128,Neiafu,TO,-18.65,-173.9833,83.08,78,40,9.22,scattered clouds
129,Broken Hill,AU,-31.95,141.4333,72.05,74,39,20.83,scattered clouds
130,Nouakchott,MR,18.0858,-15.9785,80.53,25,58,11.07,broken clouds
131,Tamala,RU,52.541,43.2515,37.4,81,100,12.3,overcast clouds
132,Katherine,AU,-14.4667,132.2667,84.52,54,98,4.61,overcast clouds
133,Polis,CY,35.0367,32.4264,66.02,50,81,6.93,broken clouds
134,Doha,QA,25.2867,51.5333,80.58,74,0,2.3,clear sky
135,Sand Springs,US,36.1398,-96.1089,65.91,60,100,9.22,overcast clouds
136,Mitsamiouli,KM,-11.3847,43.2844,76.24,81,9,10.38,clear sky
137,Alta Floresta,BR,-9.8756,-56.0861,79.29,70,96,6.02,overcast clouds
138,Salalah,OM,17.0151,54.0924,77.09,73,20,4.61,few clouds
139,Altagracia De Orituco,VE,9.8601,-66.3814,73.15,95,98,3.98,overcast clouds
140,Georgetown,MY,5.4112,100.3354,82.24,88,20,5.75,thunderstorm with light rain
141,Perelyub,RU,51.8667,50.3667,47.82,97,100,14.7,overcast clouds
142,Naryan-Mar,RU,67.6713,53.087,34.05,94,100,13.09,overcast clouds
143,Bayji,IQ,34.9311,43.487,70.57,22,52,3.22,broken clouds
144,Sinnamary,GF,5.3833,-52.95,79.63,86,100,8.39,light rain
145,North Platte,US,41.1239,-100.7654,64.11,25,99,8.01,overcast clouds
146,Port Lincoln,AU,-34.7333,135.8667,53.8,78,100,13.06,overcast clouds
147,Namatanai,PG,-3.6667,152.4333,83.97,64,89,5.75,overcast clouds
148,Eirunepe,BR,-6.6603,-69.8736,81.91,73,99,3.36,moderate rain
149,Kupang,ID,-10.1667,123.5833,79.66,81,100,6.26,overcast clouds
150,Viedma,AR,-40.8135,-62.9967,49.57,50,52,19.77,broken clouds
151,Killybegs,IE,54.6333,-8.45,52.63,83,57,16.8,broken clouds
152,Broome,US,42.2506,-75.833,56.17,49,93,1.01,overcast clouds
153,Severnyy,RU,50.677,36.5532,48.24,81,0,11.18,clear sky
154,Yumen,CN,40.2833,97.2,35.74,51,77,6.93,broken clouds
155,Malanje,AO,-9.5402,16.341,63.21,85,86,1.16,overcast clouds
156,Raahe,FI,64.6833,24.4833,28.49,74,55,6.29,broken clouds
157,Novoagansk,RU,61.9449,76.6625,21.94,95,77,8.75,broken clouds
158,Klaksvik,FO,62.2266,-6.589,50.92,90,95,23.38,overcast clouds
159,Avera,US,33.194,-82.5271,62.11,74,94,8.52,overcast clouds
160,Santiago Del Estero,AR,-27.7951,-64.2615,71.28,17,0,25.21,clear sky
161,Gravdal,NO,68.1214,13.5031,44.49,76,75,5.75,broken clouds
162,Dvinskoy,RU,62.1535,45.1175,36.79,98,100,5.08,overcast clouds
